Jump,Start,Takeoff,Landing,End
X2L,123,288,360,410
X2L,991,1139,1211,1275
X2L,1780,1936,2009,2076
X2R,2375,2527,2602,2671
X2R,3226,3382,3455,3524
X2R,4032,4186,4258,4316
