Jump,Start,Takeoff,Landing,End
Q3R,268,417,481,535
Q3R,925,1075,1135,1192
Q3R,1596,1746,1810,1854
Q3L,2787,2943,3004,3054
Q3L,3483,3633,3694,3740
Q3L,4176,4322,4382,4440
