Jump,Start,Take-off,Landing,End
X2R,40,208,267,318
X2R,847,1011,1073,1127
X2R,1951,2131,2192,2239
X2L,2557,2719,2784,2829
X2L,3362,3520,3587,3633
X2L,4196,4372,4428,4486
