Jump,Start,Take-off,Landing,End
X3R,296,481,549,601
X3R,1108,1287,1355,1402
X3R,1899,2087,2155,2205
X3L,2644,2849,2915,2968
X3L,3590,3763,3827,3874
X3L,4430,4621,4686,4740
