Jump,Start,Take-off,Landing,End
X2R,116,269,337,396
X2R,764,936,1003,1048
X2R,1495,1665,1736,1805
X2L,2306,2473,2544,2587
X2L,3000,3155,3224,3259
X2L,3574,3911,3983,4030
