Jump,Start,Take-off,Landing,End
X3R,171,353,437,506
X3R,915,1089,1171,1257
X3R,1613,1790,1873,1949
X3L,2272,2463,2542,2602
X3L,2973,3153,3232,3299
X3L,3689,3874,3952,4016
