Jump,Start,Takeoff,Landing,End
Q3R,1992,2132,2205,2231
Q3R,2547,2697,2771,2826
Q3R,3163,3344,3416,3463
Q3L,4002,4167,4238,4290
Q3L,4540,4693,4766,4818
Q3L,5087,5244,5316,5383
