Jump,Start,Take-off,Landing,End
X2R,362,524,590,638
X2R,1193,1352,1422,1472
X2R,2034,2181,2249,2308
X2L,2809,2960,3025,3074
X2L,3680,3824,3890,3932
X2L,4459,4601,4667,4717
