Jump,Start,Take-off,Landing,End
X3R,171,357,430,492
X3R,1062,1232,1304,1369
X3R,1845,2025,2097,2158
X3L,2674,2841,2915,2972
X3L,3465,3628,3702,3752
X3L,4263,4429,4501,4551
