Jump,Start,Takeoff,Landing,End
Q3R,170,343,409,467
Q3R,904,1080,1148,1215
Q3R,1763,1940,2005,2064
Q3L,2966,3142,3208,3281
Q3L,3674,3841,3907,3965
Q3L,4362,4516,4582,4640
