Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618506222799157,-5.370122,0.740940,4.647186,-1.509851,-0.637931,0.129801,34.795761,-22.424938,-21.224994,4635732324305076200.000000,0.614625,-0.345200,0.360767,0.610672,-26.106505,9.433016,-6.652782,-0.053855,-4.559123,-2.202198,36.283326,1.088782,-28.746611,4635727921426726900.000000,-0.632275,0.489686,-0.135042,-0.584978,-10.854584,0.817178,-6.925013,-0.704986,0.116567,1.029608,33.943588,-10.232702,30.446303,4635729532576333800.000000,0.591161,0.131851,0.792738,0.068632
1618506222807490,-4.018793,0.514504,3.988868,-1.432128,-0.707790,0.003345,34.624862,-22.152639,-21.675734,4635732390399335400.000000,0.613703,-0.346904,0.355407,0.613768,-24.887058,8.257136,-6.797172,-0.294001,-4.630847,-1.877754,35.152740,1.728292,-30.028319,4635727921426726900.000000,-0.638712,0.480156,-0.118337,-0.589486,-9.314801,1.478391,-4.396539,-0.788659,0.142813,1.077738,33.881521,-10.691339,30.465781,4635729532576333800.000000,0.590824,0.133446,0.792239,0.074001
1618506222815823,-2.133382,-0.426376,3.223660,-1.367802,-0.760768,-0.144618,34.499055,-21.863444,-22.111382,4635732431679258600.000000,0.613306,-0.348513,0.349848,0.616442,-22.277314,7.383934,-8.158496,-1.451961,-4.514866,-1.698416,33.995843,2.509680,-31.234902,4635727921426726900.000000,-0.642058,0.473695,-0.099404,-0.594554,-7.903153,1.623585,-2.056333,-0.688709,0.162086,1.118576,33.802043,-11.093144,30.556169,4635729532576333800.000000,0.590337,0.135411,0.791771,0.079148
1618506222824156,-0.271253,-1.191666,3.129813,-1.295493,-0.574969,-0.266716,34.559171,-21.591121,-22.506725,4635732431679258600.000000,0.613035,-0.350578,0.344758,0.618405,-18.127045,2.932879,-8.060267,-3.083085,-4.327437,-1.485976,32.826849,3.590643,-32.503493,4635727921426726900.000000,-0.641273,0.471745,-0.077304,-0.600208,-6.707581,1.624624,-0.609073,-0.541620,0.161154,1.198098,33.642046,-11.491061,30.561104,4635729532576333800.000000,0.589726,0.137996,0.791280,0.084003
1618506222832489,0.608508,-1.146539,3.202092,-1.204866,-0.217720,-0.282893,34.567607,-21.354494,-22.837248,4635732431679258600.000000,0.612408,-0.353345,0.340781,0.619655,-11.686725,-8.226105,-7.800435,-4.264909,-4.144882,-1.549152,31.645573,5.069834,-33.430935,4635727921426726900.000000,-0.637888,0.473152,-0.052568,-0.605362,-5.980586,1.677455,0.063120,-0.336485,0.182653,1.294617,33.336795,-11.961005,30.487844,4635729532576333800.000000,0.588873,0.141391,0.790833,0.088428
1618506222840822,0.624470,-0.708065,2.835914,-1.116878,0.047560,-0.163603,34.429586,-21.062491,-23.077611,4635732431679258600.000000,0.611211,-0.356395,0.337874,0.620681,-8.200978,-14.856457,-5.066787,-4.648365,-3.711590,-1.885845,30.583625,6.635192,-34.173648,4635727921426726900.000000,-0.634080,0.476431,-0.027316,-0.608449,-6.044414,2.147003,0.056288,-0.208960,0.185205,1.393109,33.030567,-12.356558,30.421890,4635729532576333800.000000,0.587880,0.145418,0.790356,0.092674
1618506222849155,0.068701,-0.292112,2.549493,-1.037269,0.177870,0.026582,34.363842,-20.785500,-23.225033,4635732431679258600.000000,0.609446,-0.359304,0.335782,0.621873,-10.272540,-11.839900,-0.896838,-3.871100,-3.581164,-1.619284,29.361089,8.272614,-34.752823,4635727921426726900.000000,-0.630746,0.477671,-0.004892,-0.611528,-6.871265,2.408273,-0.329257,-0.055902,0.216753,1.469078,32.735050,-12.687486,30.449719,4635729532576333800.000000,0.586640,0.150052,0.789939,0.096618
1618506222857488,-1.178115,0.266524,2.750325,-0.979667,0.291820,0.210466,34.604140,-20.593928,-23.334895,4635732431679258600.000000,0.607122,-0.362099,0.334397,0.623270,-13.568294,5.278213,4.685088,-3.934380,-3.448989,-1.196835,28.220304,9.857572,-35.205366,4635727921426726900.000000,-0.625886,0.479161,0.016509,-0.615142,-7.139799,2.610086,-1.244008,0.067863,0.264336,1.524003,32.674018,-13.169763,30.629414,4635729532576333800.000000,0.585119,0.155143,0.789623,0.100314
1618506222865821,-2.918999,1.050571,2.942909,-0.974885,0.353223,0.359441,34.852099,-20.435232,-23.497327,4635732431679258600.000000,0.604321,-0.364827,0.333397,0.624934,-14.366264,12.684111,-6.714065,-6.363426,-2.647654,-0.842534,27.290661,11.617576,-35.416560,4635727921426726900.000000,-0.614908,0.488744,0.041326,-0.617502,-7.447886,2.998369,-2.764951,0.080082,0.293401,1.582818,32.592180,-13.706615,30.634342,4635729532576333800.000000,0.583444,0.160439,0.789310,0.104128
