Jump,Start,Takeoff,Landing,End
Q3L,92,232,302,390
Q3L,2818,2947,3020,3095
Q3L,3435,3561,3634,3694
Q3R,4169,4339,4409,4477
Q3R,4910,5046,5115,5180
Q3R,5404,5544,5613,5677
