Jump,Start,Takeoff,Landing,End
X3L,41,230,311,412
X3L,786,957,1040,1117
X3L,1498,1684,1764,1852
X3R,2214,2404,2479,2566
X3R,2880,3077,3156,3237
X3R,3636,3819,3897,3983
