Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618503354216954,-9.823730,-1.497758,2.363835,-0.932180,-0.104212,0.319247,44.296850,-13.221204,5.233398,4635730322911643600.000000,-0.750201,0.169560,-0.586080,-0.254871,-9.818435,-3.157769,1.098318,0.049380,-0.537447,-0.670212,45.394854,-10.585660,-4.107924,4635725988691443700.000000,-0.488739,0.614810,-0.382062,-0.487002,-9.712819,-0.229548,-0.642208,0.262741,0.307500,-0.030454,42.612118,15.962929,8.078397,4635727491929997300.000000,-0.569250,-0.429551,-0.582222,0.390460
1618503354225287,-10.157691,-0.832670,2.378030,-0.904535,-0.063281,0.390631,44.402727,-13.418488,5.023064,4635730391569793000.000000,-0.749303,0.171332,-0.585208,-0.258307,-9.437817,-3.669836,1.307067,0.030160,-0.471847,-0.578072,45.430599,-10.218581,-4.248431,4635725988691443700.000000,-0.490756,0.614710,-0.379656,-0.486981,-10.243578,-0.570892,-0.911691,0.280751,0.314849,-0.005679,42.591629,15.951156,8.105716,4635727491929997300.000000,-0.567953,-0.430710,-0.582543,0.390592
1618503354233620,-10.415886,0.003752,2.403868,-0.876429,-0.104843,0.464463,44.379739,-13.662617,5.008006,4635730391569793000.000000,-0.748435,0.172787,-0.584280,-0.261927,-9.408048,-4.131073,1.408580,0.027502,-0.375874,-0.482959,45.461239,-9.910674,-4.443737,4635725988691443700.000000,-0.492417,0.614655,-0.377682,-0.486909,-10.567759,-0.586900,-0.791956,0.247543,0.327241,0.006924,42.538877,15.930661,8.114508,4635727569264666600.000000,-0.566706,-0.431839,-0.582923,0.390589
1618503354241953,-10.380590,0.886056,2.459620,-0.862207,-0.192717,0.546832,44.298689,-13.906755,5.047489,4635730391569793000.000000,-0.747693,0.173892,-0.583145,-0.265819,-9.403561,-4.041421,1.343200,-0.148613,-0.185017,-0.410105,45.477065,-9.852243,-4.596208,4635726035800528900.000000,-0.493176,0.615231,-0.375927,-0.486772,-10.527137,-0.426237,-0.491629,0.223452,0.344974,0.019615,42.465630,15.921869,8.179471,4635727599304179700.000000,-0.565478,-0.432970,-0.583359,0.390465
1618503354250286,-10.065631,1.682380,2.767312,-0.854173,-0.228277,0.607957,44.278228,-14.186081,4.860879,4635730391569793000.000000,-0.746960,0.174782,-0.581939,-0.269904,-9.456247,-3.291848,1.230818,-0.541312,0.034197,-0.334002,45.393113,-9.830586,-4.613534,4635726096065626100.000000,-0.492428,0.616936,-0.374018,-0.486842,-10.503740,0.157791,-0.675350,0.145899,0.324970,0.021961,42.445141,15.918454,8.344023,4635727599304179700.000000,-0.564442,-0.433891,-0.583868,0.390183
1618503354258619,-9.746794,2.195456,3.121241,-0.844049,-0.197166,0.628754,44.267898,-14.492710,4.529834,4635730391569793000.000000,-0.746118,0.175631,-0.580843,-0.274012,-9.807914,-3.049508,1.809504,-0.725999,0.046301,-0.229406,45.338295,-9.666546,-4.651239,4635726096065626100.000000,-0.490969,0.618877,-0.372026,-0.487377,-10.510574,0.788127,-0.623060,0.079810,0.320487,0.018287,42.506669,15.865716,8.398693,4635727599304179700.000000,-0.563529,-0.434639,-0.584479,0.389755
1618503354266952,-9.521250,2.335027,3.235946,-0.838324,-0.160986,0.609987,44.078441,-14.736829,4.331660,4635730430247174100.000000,-0.745199,0.176548,-0.579840,-0.278018,-9.830582,-3.796735,2.218095,-0.416924,-0.171564,-0.192717,45.375776,-9.495643,-4.884038,4635726096065626100.000000,-0.490567,0.619683,-0.370307,-0.488067,-10.317224,0.996121,-0.675793,-0.010205,0.323350,0.004786,42.530594,15.792478,8.469003,4635727599304179700.000000,-0.562750,-0.435146,-0.585265,0.389134
1618503354275285,-9.394323,2.183121,3.298944,-0.829223,-0.137190,0.557865,43.895859,-14.950184,4.319969,4635730498943975400.000000,-0.744279,0.177583,-0.578873,-0.281813,-8.638824,-3.890122,1.659583,-0.077118,-0.242324,-0.241793,45.455869,-9.330102,-5.004181,4635726096065626100.000000,-0.491250,0.619723,-0.369007,-0.488313,-10.127778,0.890194,-0.737811,-0.096418,0.311347,-0.009227,42.425148,15.657732,8.707245,4635727444723492900.000000,-0.562132,-0.435397,-0.586187,0.388357
1618503354283618,-9.345493,1.853051,3.320884,-0.811490,-0.119375,0.500782,43.906144,-15.113276,4.281343,4635730498943975400.000000,-0.743387,0.178714,-0.577932,-0.285362,-7.882521,-3.428125,0.725727,0.024305,-0.199286,-0.293455,45.454168,-9.096475,-4.913383,4635726096065626100.000000,-0.492233,0.619723,-0.367868,-0.488185,-10.021808,0.938965,-0.647997,-0.137017,0.306558,-0.018969,42.392892,15.551761,8.921132,4635727384555814900.000000,-0.561584,-0.435520,-0.587180,0.387511
1618503354291951,-9.327435,1.688039,3.164638,-0.789232,-0.133222,0.442894,44.003294,-15.284165,3.969830,4635730498943975400.000000,-0.742601,0.179899,-0.576922,-0.288688,-8.215124,-3.519584,-0.562710,-0.020603,-0.272446,-0.307330,45.474274,-8.873934,-5.072663,4635726096065626100.000000,-0.493238,0.619685,-0.366450,-0.488284,-9.989077,0.959019,-0.750958,-0.168034,0.286569,-0.034433,42.449032,15.589324,8.902148,4635727384555814900.000000,-0.561116,-0.435500,-0.588202,0.386661
