Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618504573451818,-9.393048,2.804925,1.338356,0.066437,-0.252608,0.045540,42.311735,14.203570,-13.779672,4635731035814887400.000000,0.578796,0.463152,0.358978,-0.567116,-7.807130,-0.218749,-2.136131,3.355833,-1.533752,-0.266308,36.835506,-4.016899,29.339588,4635726847684902900.000000,0.605044,0.039185,0.794817,0.025552,-9.912412,1.189418,-1.636274,0.239188,0.019142,-0.114503,45.061943,1.802278,-11.538486,4635728888331239400.000000,-0.074459,-0.766486,-0.064629,0.634648
1618504573460151,-9.434934,2.759682,1.176595,0.014635,-0.192074,0.032358,42.594116,14.071260,-13.877621,4635731035814887400.000000,0.579005,0.462834,0.358319,-0.567578,-7.524876,1.110538,-1.938173,3.057698,-1.527870,-0.249117,37.283057,-3.108190,29.015350,4635726847684902900.000000,0.609533,0.046358,0.791273,0.014411,-9.817263,1.267654,-1.762177,0.206550,0.013205,-0.125183,45.020905,1.925780,-11.501290,4635728888331239400.000000,-0.073457,-0.766605,-0.064373,0.634647
1618504573468484,-9.415792,2.541084,0.919440,-0.015124,-0.208192,0.016338,42.508677,14.145883,-14.072915,4635731035814887400.000000,0.579258,0.462382,0.357723,-0.568065,-7.112568,2.401500,-2.044688,2.496910,-1.436436,-0.259233,37.621970,-2.342118,28.624734,4635726847684902900.000000,0.613720,0.052066,0.787788,0.005101,-9.602436,1.112906,-1.893106,0.164044,0.005173,-0.136974,45.058963,1.919552,-11.598949,4635728888331239400.000000,-0.072562,-0.766686,-0.064264,0.634663
1618504573476817,-9.327309,2.230383,0.861448,-0.034447,-0.208368,-0.000774,42.423232,14.229940,-14.247425,4635731035814887400.000000,0.579506,0.461858,0.357205,-0.568563,-6.709799,3.051517,-2.852704,1.917315,-1.301674,-0.298028,37.777920,-1.858022,28.274954,4635726847684902900.000000,0.617515,0.056149,0.784549,-0.002374,-9.459780,1.114706,-1.872160,0.104405,-0.001152,-0.147572,45.056089,1.760856,-11.639520,4635728888331239400.000000,-0.071831,-0.766729,-0.064346,0.634686
1618504573485150,-9.129473,1.884658,0.925265,-0.046926,-0.132645,-0.027383,42.347481,14.314289,-14.247150,4635731035814887400.000000,0.579603,0.461444,0.356951,-0.568961,-6.410274,2.201991,-3.171095,1.483298,-1.238105,-0.317352,38.000539,-1.414449,28.048395,4635726871600237600.000000,0.621152,0.059048,0.781417,-0.008464,-9.506090,1.214875,-1.843795,0.036603,-0.012084,-0.154452,45.020905,1.722676,-11.582916,4635728999905563600.000000,-0.071301,-0.766721,-0.064625,0.634727
1618504573493483,-9.029585,1.606693,0.985765,-0.066052,0.021905,-0.061802,42.319767,14.456073,-14.171674,4635731035814887400.000000,0.579424,0.461299,0.357182,-0.569116,-6.498496,0.791621,-2.846727,1.239048,-1.224653,-0.306321,38.467073,-0.930270,27.711928,4635726955059085300.000000,0.624766,0.061355,0.778277,-0.013734,-9.678427,1.093890,-1.982376,-0.022366,-0.034724,-0.151468,45.020905,1.840319,-11.586737,4635729103079604200.000000,-0.070973,-0.766636,-0.065045,0.634823
1618504573501816,-9.104205,1.355905,0.843194,-0.091905,0.134587,-0.096783,42.085338,14.362327,-14.245789,4635731035814887400.000000,0.579043,0.461306,0.357814,-0.569100,-6.695183,-0.143998,-2.308490,0.952266,-1.133487,-0.313338,38.770714,-0.541089,27.204640,4635726955059085300.000000,0.628126,0.062902,0.775355,-0.018074,-9.797155,0.780000,-2.220166,-0.064200,-0.065823,-0.133574,45.014563,1.960954,-11.684389,4635729103079604200.000000,-0.070833,-0.766462,-0.065509,0.635002
1618504573510149,-9.185498,1.156701,0.648138,-0.110161,0.129021,-0.118564,41.944637,14.221624,-14.115194,4635731035814887400.000000,0.578654,0.461224,0.358518,-0.569119,-6.871381,-0.406561,-2.209596,0.525504,-0.990678,-0.353824,38.770714,-0.322775,26.671622,4635726931143750700.000000,0.631112,0.063203,0.772824,-0.021098,-9.745009,0.401614,-2.331614,-0.088433,-0.097781,-0.102352,45.053078,2.002014,-11.737655,4635729047311517700.000000,-0.070863,-0.766204,-0.065928,0.635266
1618504573518482,-9.219126,1.045919,0.556014,-0.121929,0.085210,-0.117355,41.963980,14.240967,-13.845732,4635731035814887400.000000,0.578355,0.461012,0.359142,-0.569202,-6.813064,0.300117,-2.390143,-0.020604,-0.816933,-0.418993,38.844116,-0.237325,26.346242,4635726895509832700.000000,0.633665,0.061868,0.770801,-0.022486,-9.623401,0.143641,-2.299909,-0.101682,-0.129910,-0.062190,45.049761,2.040060,-11.743522,4635728995705421800.000000,-0.071049,-0.765868,-0.066245,0.635617
