Jump,Start,Takeoff,Landing,End
X3L,320,500,583,653
X3L,1068,1258,1342,1409
X3L,1858,2042,2124,2210
X3R,2754,2961,3040,3113
X3R,3538,3733,3810,3894
X3R,4330,4519,4597,4668
