Jump,Start,Takeoff,Landing,End
Q3L,130,274,345,400
Q3L,894,1031,1098,1155
Q3L,1668,1825,1894,1946
Q3R,2331,2476,2544,2596
Q3R,3040,3175,3242,3309
Q3R,3758,3898,3968,4031
