Jump,Start,Take-off,Landing,End
X2L,695,852,919,991
X2L,1534,1695,1762,1811
X2L,2344,2506,2573,2640
X2R,3266,3432,3500,3566
X2R,5067,5235,5308,5334
X2R,6146,6309,6380,6446
