Jump,Start,Takeoff,Landing,End
X3L,297,473,554,604
X3L,1104,1286,1367,1414
X3L,1954,2135,2216,2280
X3R,2771,2986,3061,3124
X3R,3665,3859,3935,4011
X3R,4392,4599,4675,4747
