Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618505769231373,-9.229384,1.307367,0.627558,0.016440,-0.122365,-0.115121,42.520047,-0.839476,18.446460,4635732109556711400.000000,0.731155,-0.177955,0.657734,0.033619,-9.838182,-0.378078,-1.514281,-0.065034,0.010681,-0.145102,41.078896,-21.657340,5.382973,4635727706678362100.000000,0.337021,-0.552679,0.600650,0.469236,-10.061403,0.719611,-1.040239,0.059688,0.035477,0.053124,42.435543,16.260262,6.435911,4635729532576333800.000000,0.437964,0.490245,0.488362,-0.573890
1618505769239706,-9.430861,1.372797,0.517101,-0.031918,-0.082332,-0.105353,42.592218,-0.744063,18.348798,4635732109556711400.000000,0.731272,-0.178351,0.657506,0.033452,-9.667209,-0.318096,-1.611448,-0.043659,0.010614,-0.116237,41.246989,-21.901066,5.296888,4635727706678362100.000000,0.337199,-0.552897,0.600349,0.469236,-9.880157,0.763957,-1.133417,0.029898,0.040927,0.050203,42.443775,16.260262,6.556117,4635729532576333800.000000,0.437564,0.490548,0.488283,-0.574004
1618505769248039,-9.618933,1.379437,0.215752,-0.080902,-0.098277,-0.088845,42.740941,-0.732444,18.251148,4635732109556711400.000000,0.731394,-0.178848,0.657233,0.033483,-9.484865,-0.439897,-1.623656,-0.020138,-0.001112,-0.083133,40.930921,-22.070483,5.102120,4635727706678362100.000000,0.337395,-0.552978,0.600152,0.469251,-9.662429,0.828847,-1.231691,0.009943,0.039969,0.047501,42.312116,16.283419,6.689657,4635729532576333800.000000,0.437201,0.490807,0.488255,-0.574083
1618505769256372,-9.664941,1.368890,-0.092750,-0.136496,-0.135617,-0.071755,42.836356,-0.806267,18.406600,4635732016794592300.000000,0.731574,-0.179463,0.656851,0.033745,-9.436464,-0.512641,-1.635933,0.006600,-0.008594,-0.052142,40.846392,-21.985041,5.005598,4635727706678362100.000000,0.337611,-0.552931,0.600068,0.469260,-9.543590,0.886651,-1.312650,-0.012997,0.035304,0.038281,42.258173,16.310351,6.662643,4635729532576333800.000000,0.436872,0.490995,0.488292,-0.574141
1618505769264705,-9.562802,1.240675,-0.260835,-0.198644,-0.139150,-0.065738,42.774163,-0.881173,18.601918,4635732002182529000.000000,0.731717,-0.180247,0.656454,0.034198,-9.460667,-0.500574,-1.660136,0.039651,-0.017158,-0.017974,40.920201,-21.900574,5.103257,4635727706678362100.000000,0.337858,-0.552734,0.600115,0.469254,-9.477433,0.895628,-1.398735,-0.042961,0.030073,0.027261,42.300000,16.260262,6.600345,4635729532576333800.000000,0.436587,0.491094,0.488413,-0.574170
1618505769273038,-9.440753,1.009868,-0.322945,-0.264420,-0.106569,-0.054086,42.762535,-0.891140,18.544148,4635732002182529000.000000,0.731719,-0.181203,0.656155,0.034841,-9.448671,-0.512008,-1.648070,0.061996,-0.028834,0.014052,41.090611,-21.986447,5.200916,4635727706678362100.000000,0.338123,-0.552402,0.600264,0.469263,-9.456879,0.848064,-1.467484,-0.066679,0.021136,0.017538,42.462541,16.237110,6.653736,4635729498636144600.000000,0.436346,0.491110,0.488594,-0.574185
1618505769281371,-9.392482,0.660258,-0.150344,-0.315887,-0.054419,-0.027428,42.688723,-0.964952,18.288316,4635732002182529000.000000,0.731535,-0.182251,0.656025,0.035669,-9.473289,-0.390430,-1.660276,0.069478,-0.027826,0.042895,41.175089,-22.143335,5.298013,4635727706678362100.000000,0.338348,-0.551989,0.600495,0.469291,-9.429239,0.761983,-1.533642,-0.076907,0.013659,0.012198,42.552414,16.187017,6.756451,4635729425202151400.000000,0.436129,0.491079,0.488796,-0.574204
1618505769289704,-9.450761,0.262395,-0.185342,-0.354874,-0.046076,0.005103,42.677082,-1.050405,18.250069,4635732002182529000.000000,0.731292,-0.183329,0.655938,0.036697,-9.533982,-0.354084,-1.672070,0.078059,-0.037433,0.072755,41.090532,-21.985051,5.298013,4635727706678362100.000000,0.338558,-0.551471,0.600798,0.469362,-9.383636,0.727951,-1.538769,-0.082982,0.005170,0.006183,42.443826,16.183160,6.600941,4635729425202151400.000000,0.435926,0.491007,0.489009,-0.574239
1618505769298037,-9.629433,-0.182581,-0.511621,-0.371959,-0.115122,0.042825,42.750887,-1.199109,18.503110,4635732002182529000.000000,0.731219,-0.184344,0.655665,0.037938,-9.534189,-0.364363,-1.610758,0.092947,-0.045876,0.094093,41.163433,-21.901045,5.298564,4635727706678362100.000000,0.338781,-0.550862,0.601166,0.469444,-9.379143,0.667517,-1.471294,-0.099170,-0.002136,0.004443,42.308277,16.201806,6.408887,4635729425202151400.000000,0.435766,0.490885,0.489250,-0.574260
1618505769306370,-9.782559,-0.644742,-0.371785,-0.362783,-0.197990,0.080351,42.910121,-1.220740,18.458710,4635732002182529000.000000,0.731371,-0.185211,0.655169,0.039331,-9.570874,-0.035275,-1.501780,0.096004,-0.036311,0.111146,41.175100,-22.071390,5.396211,4635727706678362100.000000,0.338955,-0.550223,0.601593,0.469521,-9.406772,0.315428,-1.398715,-0.091577,0.001575,0.010737,42.303804,16.260262,6.497569,4635729425202151400.000000,0.435598,0.490800,0.489466,-0.574277
1618505769314703,-9.844712,-1.055907,0.111488,-0.346276,-0.238874,0.110357,42.996689,-1.157490,18.034258,4635732002182529000.000000,0.731642,-0.185936,0.654571,0.040800,-9.619499,0.206801,-1.550274,0.072548,-0.035260,0.121827,41.089657,-22.143834,5.493331,4635727706678362100.000000,0.339052,-0.549592,0.602001,0.469668,-9.498655,0.014797,-1.463608,-0.045702,0.007252,0.007533,42.470851,16.260262,6.747493,4635729425202151400.000000,0.435318,0.490804,0.489589,-0.574379
1618505769323036,-9.925167,-1.416585,0.341237,-0.311659,-0.234314,0.124438,42.932890,-1.221288,17.969297,4635732002182529000.000000,0.731923,-0.186514,0.654002,0.042212,-9.631378,0.073047,-1.537342,0.056635,-0.037374,0.132502,41.004669,-22.070524,5.492804,4635727705518952400.000000,0.339098,-0.548951,0.602398,0.469874,-9.672758,0.432391,-1.432767,-0.008770,0.005847,0.006015,42.529310,16.283390,6.845784,4635729425202151400.000000,0.434962,0.490870,0.489626,-0.574562
