Jump,Start,Take-off,Landing,End
Q3L,267,424,498,557
Q3L,827,990,1062,1124
Q3L,1411,1589,1661,1716
Q3R,2309,2492,2562,2624
Q3R,2912,3096,3165,3231
Q3R,3639,3815,3885,3936
