Jump,Start,Take-off,Landing,End
X2L,758,922,992,1070
X2L,1629,1783,1857,1941
X2L,2627,2774,2844,2925
X2R,3417,3565,3638,3706
X2R,4915,5088,5159,5230
X2R,5670,5816,5886,5950
