Jump,Start,Take-off,Landing,End
X3L,261,430,520,608
X3L,1069,1230,1319,1430
X3L,1921,2092,2183,2269
X3R,2926,3097,3182,3255
X3R,3681,3861,3946,4033
X3R,4467,4644,4730,4828
