Jump,Start,Takeoff,Landing,End
Q3L,160,317,397,478
Q3L,839,971,1048,1134
Q3L,1156,1691,1768,1861
Q3R,2132,2278,2352,2435
Q3R,2878,3013,3090,3177
Q3R,3621,3780,3858,3930
