Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618504897284130,-9.747868,0.060524,-0.301596,-0.055211,0.031398,-0.002047,41.388225,-1.472786,20.203253,4635731143189069800.000000,0.702809,-0.023040,0.709885,0.039900,-9.592645,1.484046,-1.184118,-0.000208,-0.008975,-0.015162,37.259198,-24.009079,15.012393,4635727512806878200.000000,0.519722,-0.386169,0.662312,0.376968,-9.815993,0.230700,-0.014689,-0.012383,0.004164,-0.004055,42.309619,16.650898,6.691937,4635729210453786600.000000,0.610266,0.440495,0.484528,-0.445838
1618504897292463,-9.747354,0.084938,-0.472489,-0.051226,0.003998,-0.004273,41.261024,-1.428266,20.337724,4635731143189069800.000000,0.702770,-0.023322,0.709913,0.039920,-9.590102,1.508972,-1.191408,-0.008085,-0.008545,-0.019212,37.249875,-24.021968,14.935086,4635727599304179700.000000,0.519735,-0.386331,0.662270,0.376858,-9.781856,0.144218,-0.012207,-0.011858,0.007151,-0.004273,42.168312,16.508350,6.888274,4635729210453786600.000000,0.610356,0.440390,0.484569,-0.445775
1618504897300796,-9.730332,0.085967,-0.397855,-0.055408,-0.029352,-0.004273,41.383788,-1.463342,20.530790,4635731143189069800.000000,0.702829,-0.023610,0.709843,0.039957,-9.587729,1.445566,-1.189036,-0.010904,-0.011097,-0.020087,37.264110,-23.841755,14.856410,4635727599304179700.000000,0.519752,-0.386498,0.662217,0.376757,-9.756203,0.090426,-0.023171,-0.005034,0.007477,-0.006191,42.097344,16.349672,6.997101,4635729210453786600.000000,0.610428,0.440301,0.484601,-0.445729
1618504897309129,-9.704885,0.102467,-0.172978,-0.061305,-0.007407,-0.005807,41.511536,-1.501511,20.534926,4635731194595716100.000000,0.702823,-0.023923,0.709836,0.040004,-9.582811,1.386904,-1.169541,-0.005149,-0.012818,-0.017313,37.337350,-23.641358,14.790811,4635727599304179700.000000,0.519779,-0.386641,0.662173,0.376651,-9.775642,0.118343,-0.057306,-0.008110,0.007477,-0.006409,42.222689,16.333506,6.919340,4635729210453786600.000000,0.610504,0.440204,0.484639,-0.445679
1618504897317462,-9.734104,0.122594,-0.233104,-0.067668,0.016579,-0.010545,41.429204,-1.425543,20.484022,4635731250563252200.000000,0.702745,-0.024271,0.709898,0.040053,-9.568237,1.381804,-1.166991,0.001052,-0.012180,-0.016022,37.366863,-23.674517,14.753831,4635727599304179700.000000,0.519812,-0.386768,0.662142,0.376529,-9.811021,0.231711,-0.082964,-0.021016,0.006518,-0.011205,42.303397,16.476034,6.810717,4635729210453786600.000000,0.610595,0.440066,0.484706,-0.445618
1618504897325795,-9.748394,0.127396,-0.354015,-0.073611,0.019090,-0.015420,41.387375,-1.301914,20.524924,4635731250563252200.000000,0.702660,-0.024652,0.709966,0.040105,-9.594825,1.384358,-1.171911,0.014042,-0.014937,-0.014110,37.272147,-23.794400,14.817037,4635727599304179700.000000,0.519870,-0.386856,0.662129,0.376381,-9.803790,0.200299,-0.008715,-0.031064,0.002572,-0.014627,42.245084,16.568939,6.974921,4635729210453786600.000000,0.610705,0.439889,0.484789,-0.445553
1618504897334128,-9.758512,0.187384,-0.365699,-0.071749,0.026521,-0.016068,41.431927,-1.339153,20.622054,4635731199176208400.000000,0.702554,-0.025028,0.710056,0.040149,-9.641292,1.357578,-1.135480,0.016263,-0.012628,-0.012818,37.157163,-23.828852,14.856410,4635727599304179700.000000,0.519925,-0.386939,0.662126,0.376226,-9.802545,0.195318,0.000000,-0.033963,0.003095,-0.016872,42.237614,16.500928,6.994842,4635729210453786600.000000,0.610813,0.439703,0.484881,-0.445487
1618504897342461,-9.802022,0.208572,-0.413483,-0.068827,0.015640,-0.012398,41.355979,-1.463319,20.679340,4635731143189069800.000000,0.702478,-0.025383,0.710116,0.040197,-9.575913,1.481244,-1.081731,0.005168,-0.008338,-0.017280,37.173714,-23.872566,14.739838,4635727599304179700.000000,0.519956,-0.387065,0.662107,0.376086,-9.813507,0.206280,0.010962,-0.035140,0.007041,-0.016131,42.237614,16.426429,6.994842,4635729210453786600.000000,0.610916,0.439524,0.484984,-0.445411
1618504897350794,-9.797226,0.188953,-0.428305,-0.071520,-0.012314,-0.005013,41.232335,-1.425562,20.726078,4635731143189069800.000000,0.702484,-0.025719,0.710094,0.040276,-9.529060,1.560185,-1.098470,-0.013387,-0.007477,-0.023482,37.310158,-23.902096,14.661092,4635727599304179700.000000,0.519965,-0.387249,0.662051,0.375983,-9.759955,0.065051,0.045086,-0.030454,0.006518,-0.016022,42.160899,16.550473,6.994842,4635729210453786600.000000,0.611010,0.439358,0.485076,-0.445345
1618504897359127,-9.760607,0.166114,-0.321073,-0.074678,-0.020990,0.003577,41.228665,-1.342814,20.777000,4635731143189069800.000000,0.702513,-0.026035,0.710047,0.040391,-9.563119,1.419223,-1.130365,-0.032629,-0.004928,-0.028185,37.422775,-23.756410,14.777641,4635727599304179700.000000,0.519943,-0.387491,0.661962,0.375920,-9.731797,0.059789,0.037870,-0.027031,0.006409,-0.014104,42.228877,16.642161,6.907168,4635729210453786600.000000,0.611100,0.439206,0.485158,-0.445283
