Jump,Start,Take-off,Landing,End
X2R,566,748,815,866
X2R,1379,1556,1624,1682
X2R,2255,2410,2477,2543
X2L,3074,3275,3337,3384
X2L,3919,4124,4188,4251
X2L,4730,4900,4965,5028
