Jump,Start,Take-off,Landing,End
X3R,332,488,563,614
X3R,1037,1199,1272,1336
X3R,1787,1940,2015,2086
X3L,2425,2595,2671,2729
X3L,3188,3356,3433,3501
X3L,3964,4148,4224,4288
