Jump,Start,Take-off,Landing,End
X2R,211,343,412,471
X2R,1050,1208,1280,1337
X2R,1944,2106,2179,2240
X2L,2607,2749,2821,2875
X2L,3273,3432,3507,3570
X2L,4024,4167,4237,4310
