Jump,Start,Take-off,Landing,End
Q3R,181,349,426,479
Q3R,902,1088,1166,1219
Q3R,1700,1876,1955,2020
Q3L,2681,2835,2913,2973
Q3L,3305,3458,3533,3599
Q3L,3906,4068,4144,4214
