Format=7,6257,Unnamed: 2,Unnamed: 3,Waist,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,6280,Unnamed: 44,Unnamed: 45,Right Foot,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,6283,Unnamed: 58,Unnamed: 59,Left Foot,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1619715014809888,-9.072693,0.184407,1.799782,0.306417,-0.226353,0.006106,44.144564,-7.547740,10.824078,4635828749005226000.000000,0.777449,0.024216,0.627378,0.037184,-9.656229,0.677900,-1.428180,0.099913,-0.060922,0.355693,38.348996,-16.034467,20.251736,4635824936841630700.000000,0.632529,-0.197728,0.728404,0.173891,-9.070101,0.301058,-1.973213,0.122175,0.303346,-0.057319,42.213028,14.860277,6.836146,4635826816269942800.000000,0.496382,0.537255,0.519965,-0.441134
1619715014818221,-9.022994,0.230218,2.101112,0.340601,-0.223431,0.011561,43.988872,-7.638819,10.933957,4635828749005226000.000000,0.777991,0.025277,0.626721,0.036222,-9.649736,0.744738,-1.379177,0.110049,-0.067839,0.353004,38.147272,-16.163466,20.203253,4635824991669082100.000000,0.632482,-0.196452,0.728666,0.174410,-9.192607,0.399150,-1.855266,0.138536,0.297998,-0.056612,42.188786,14.831995,6.836146,4635826672597539800.000000,0.495270,0.537934,0.520436,-0.441001
1619715014826554,-9.162592,0.349708,2.312085,0.361386,-0.188207,0.006597,43.900838,-7.476960,10.926057,4635828749005226000.000000,0.778437,0.026388,0.626180,0.035195,-9.607140,0.719978,-1.275198,0.114292,-0.071043,0.347663,38.032209,-16.370733,20.301603,4635825098283024400.000000,0.632450,-0.195179,0.728917,0.174905,-9.392052,0.410839,-1.729065,0.144561,0.294448,-0.058041,42.245956,14.831995,7.023989,4635826601521578000.000000,0.494147,0.538615,0.520891,-0.440890
1619715014834887,-9.344389,0.530644,2.307631,0.370345,-0.173531,0.000227,44.050901,-7.400279,10.737221,4635828749005226000.000000,0.778842,0.027510,0.625687,0.034126,-9.613458,0.702053,-1.177802,0.113216,-0.068870,0.341247,38.118169,-16.455580,20.447740,4635825098283024400.000000,0.632416,-0.193927,0.729166,0.175384,-9.607727,0.268145,-1.651957,0.149555,0.290168,-0.060177,42.225241,14.889158,7.247574,4635826601521578000.000000,0.493017,0.539294,0.521333,-0.440804
1619715014843220,-9.609926,0.772631,2.295424,0.381981,-0.175101,-0.018546,44.209596,-7.315260,10.447702,4635828749005226000.000000,0.779251,0.028621,0.625190,0.032966,-9.668514,0.812419,-1.190514,0.115382,-0.068921,0.336997,38.196964,-16.455580,20.447066,4635825098283024400.000000,0.632385,-0.192682,0.729411,0.175846,-9.802955,0.313679,-1.594964,0.165252,0.288400,-0.066600,42.135667,15.015434,7.246910,4635826601521578000.000000,0.491842,0.539986,0.521756,-0.440768
1619715014851553,-9.690085,1.075655,2.283217,0.381367,-0.187540,-0.043955,44.203439,-7.076730,10.519756,4635828749005226000.000000,0.779693,0.029666,0.624654,0.031724,-9.723322,0.866475,-1.306693,0.112112,-0.074247,0.333240,38.074055,-16.541616,20.398571,4635825098283024400.000000,0.632370,-0.191452,0.729636,0.176313,-9.953404,0.562197,-1.525761,0.179117,0.288400,-0.071573,42.160493,15.121095,7.149250,4635826529698262000.000000,0.490625,0.540695,0.522165,-0.440771
1619715014859886,-9.775085,1.368997,2.294557,0.375148,-0.174603,-0.073705,44.214779,-7.068087,10.699368,4635828749005226000.000000,0.780104,0.030612,0.624160,0.030404,-9.766087,0.793235,-1.410160,0.105747,-0.076376,0.330058,37.952816,-16.663352,20.447728,4635825098283024400.000000,0.632358,-0.190245,0.729846,0.176793,-10.030526,0.830678,-1.305536,0.181939,0.286971,-0.079779,42.131625,15.043234,7.116916,4635826637794027500.000000,0.489388,0.541389,0.522583,-0.440799
1619715014868219,-9.942962,1.626685,2.353860,0.362557,-0.180289,-0.102586,44.215214,-7.138729,10.811857,4635828749005226000.000000,0.780533,0.031444,0.623648,0.029022,-9.784193,0.756859,-1.465050,0.110585,-0.081745,0.328982,38.081840,-16.785744,20.453222,4635825098283024400.000000,0.632366,-0.189023,0.730043,0.177261,-9.989547,0.980864,-1.126896,0.172299,0.283406,-0.091173,42.005369,14.990691,7.247535,4635826708895760400.000000,0.488158,0.542031,0.523036,-0.440837
1619715014876552,-9.878400,1.729971,2.261850,0.347681,-0.187728,-0.113911,44.285849,-7.070697,10.615629,4635828749005226000.000000,0.780983,0.032198,0.623109,0.027642,-9.771986,0.732283,-1.507735,0.125037,-0.090821,0.326846,38.209171,-16.950503,20.361627,4635825098283024400.000000,0.632414,-0.187762,0.730223,0.177686,-9.871441,0.964233,-1.110950,0.157699,0.280562,-0.099351,41.956844,15.039673,7.442853,4635826708895760400.000000,0.486951,0.542619,0.523529,-0.440865
1619715014884885,-9.769838,1.709907,2.270142,0.347148,-0.172543,-0.116352,44.288460,-6.832640,10.419877,4635828749005226000.000000,0.781391,0.032944,0.622619,0.026258,-9.778209,0.701886,-1.525925,0.147487,-0.102053,0.324172,38.086306,-17.029327,20.263973,4635825098283024400.000000,0.632515,-0.186441,0.730387,0.178045,-9.696333,0.850164,-1.188394,0.152745,0.281998,-0.110046,42.013994,15.170069,7.564702,4635826708895760400.000000,0.485730,0.543175,0.524057,-0.440899
1619715014893218,-9.601111,1.567769,2.270577,0.361569,-0.157551,-0.117458,44.288460,-6.741532,10.401142,4635828749005226000.000000,0.781756,0.033732,0.622176,0.024836,-9.778052,0.726535,-1.513640,0.169359,-0.115401,0.320431,37.885171,-16.992472,20.215460,4635824990225914900.000000,0.632675,-0.185061,0.730527,0.178338,-9.550010,0.797525,-1.261556,0.159888,0.286631,-0.121435,41.879034,15.271611,7.601168,4635826637093946400.000000,0.484460,0.543729,0.524607,-0.440960
1619715014901551,-9.371372,1.421297,2.270577,0.375492,-0.130239,-0.106167,44.359083,-6.820883,10.506646,4635828749005226000.000000,0.782045,0.034593,0.621821,0.023418,-9.741356,0.836702,-1.489227,0.182680,-0.121231,0.314546,37.726485,-17.042069,20.264595,4635824937556731900.000000,0.632867,-0.183660,0.730656,0.178580,-9.501405,0.842457,-1.257289,0.169140,0.289114,-0.129259,41.683872,15.295877,7.482772,4635826601521578000.000000,0.483147,0.544287,0.525161,-0.441051
1619715014909884,-9.127689,1.251287,2.247038,0.393495,-0.097321,-0.088240,44.444089,-6.823938,10.416419,4635828749005226000.000000,0.782242,0.035556,0.621569,0.022018,-9.698670,0.976966,-1.477096,0.186389,-0.123925,0.303846,37.647633,-17.206821,20.263991,4635824990908842000.000000,0.633077,-0.182277,0.730770,0.178785,-9.472872,0.793261,-1.277806,0.170543,0.286611,-0.128525,41.741524,15.344852,7.544541,4635826601521578000.000000,0.481836,0.544845,0.525706,-0.441148
1619715014918217,-8.965928,1.115692,2.104930,0.396206,-0.080686,-0.063902,44.517773,-6.823938,10.224605,4635828749005226000.000000,0.782391,0.036590,0.621367,0.020693,-9.637483,1.117463,-1.440249,0.183171,-0.130871,0.290497,37.647633,-17.242696,20.215460,4635824990908842000.000000,0.633315,-0.180938,0.730851,0.178970,-9.428091,0.601787,-1.481704,0.164836,0.278768,-0.126395,41.953222,15.483385,7.719476,4635826601521578000.000000,0.480558,0.545380,0.526239,-0.441245
1619715014926550,-8.866079,1.075566,1.899594,0.408641,-0.112036,-0.040365,44.449783,-6.753322,10.123441,4635828749005226000.000000,0.782615,0.037728,0.621058,0.019408,-9.533609,1.239313,-1.336300,0.173532,-0.132975,0.273918,37.690619,-17.286207,20.172473,4635824990908842000.000000,0.633563,-0.179671,0.730906,0.179143,-9.444553,0.304565,-1.762463,0.167357,0.274868,-0.123185,41.981122,15.531863,7.906695,4635826601521578000.000000,0.479286,0.545919,0.526753,-0.441348
1619715014934883,-9.027346,1.286100,2.009841,0.426608,-0.146178,-0.029223,44.282385,-6.668308,10.202323,4635828645483783200.000000,0.782922,0.038958,0.620635,0.018109,-9.472945,1.294058,-1.208167,0.159109,-0.128159,0.253087,37.782205,-17.493941,20.031764,4635825098927217700.000000,0.633801,-0.178509,0.730946,0.179302,-9.550511,0.048416,-1.969782,0.183404,0.273086,-0.123197,41.801781,15.421721,7.979595,4635826601521578000.000000,0.477980,0.546486,0.527232,-0.441490
