Jump,Start,Take-off,Landing,End
X3R,219,374,456,512
X3R,1021,1188,1271,1340
X3R,1880,2040,2122,2188
X3L,2917,3081,3163,3235
X3L,3655,3820,3904,3970
X3L,4369,4539,4622,4681
