Jump,Start,Takeoff,Landing,End
X2L,199,374,442,499
X2L,1039,1205,1273,1330
X2L,1871,2046,2111,2169
X2R,2697,2876,2938,2993
X2R,3566,3736,3798,3855
X2R,4464,4636,4699,4752
