Jump,Start,Take-off,Landing,End
X3L,144,342,412,472
X3L,944,1141,1212,1270
X3L,1730,1927,1997,2049
X3R,2602,2795,2865,2922
X3R,3334,3526,3596,3653
X3R,4144,4331,4401,4461
