Format=7,6257,Unnamed: 2,Unnamed: 3,Waist,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,6280,Unnamed: 44,Unnamed: 45,Right Foot,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,6283,Unnamed: 58,Unnamed: 59,Left Foot,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1619714011562986,-9.798859,-0.848875,-0.599198,0.469733,-0.152836,0.075012,41.709934,-14.304312,14.685506,4635830359617962000.000000,0.633202,-0.348276,0.627951,0.288854,-9.667385,-0.744359,1.439595,0.056612,0.135629,0.046007,42.935195,-13.644069,2.749009,4635825957276483600.000000,-0.607087,0.427890,-0.520289,-0.421491,-9.572800,-1.953184,0.353046,0.055951,0.030016,0.030892,37.632261,25.268357,6.488978,4635827353140854800.000000,0.580308,0.257972,0.642354,-0.429040
1619714011571319,-9.707770,-0.821700,-0.510871,0.484676,-0.123283,0.079698,41.715458,-14.263891,14.783961,4635830359617962000.000000,0.634119,-0.346604,0.628359,0.287966,-9.632512,-0.733315,1.403561,0.056510,0.134510,0.049160,43.008714,-13.486860,2.837363,4635825957276483600.000000,-0.606808,0.427900,-0.520786,-0.421269,-9.574029,-1.959772,0.279804,0.047106,0.024483,0.025636,37.546810,25.221462,6.375952,4635827353140854800.000000,0.580188,0.258223,0.642339,-0.429072
1619714011579652,-9.661701,-0.747540,-0.547363,0.508909,-0.096225,0.081753,41.795260,-14.304188,14.927684,4635830359617962000.000000,0.634995,-0.344892,0.628867,0.286979,-9.667681,-0.768192,1.393393,0.052263,0.131280,0.050203,43.088635,-13.399682,2.551347,4635825957276483600.000000,-0.606527,0.427914,-0.521268,-0.421064,-9.520815,-2.009557,0.206566,0.045606,0.019227,0.026212,37.489894,25.310060,6.190664,4635827353140854800.000000,0.580086,0.258462,0.642314,-0.429104
1619714011587985,-9.656056,-0.648970,-0.650660,0.518385,-0.103425,0.080525,41.880706,-14.389634,14.873489,4635830359617962000.000000,0.635901,-0.343149,0.629363,0.285973,-9.643560,-0.731867,1.464311,0.049185,0.127084,0.050203,42.939873,-13.741408,2.556253,4635825959814605800.000000,-0.606249,0.427927,-0.521735,-0.420873,-9.465127,-2.104063,0.146489,0.062205,0.020187,0.029992,37.565336,25.440228,6.045820,4635827353140854800.000000,0.579969,0.258754,0.642257,-0.429171
1619714011596318,-9.669179,-0.598163,-0.682699,0.508452,-0.128645,0.078469,41.920223,-14.383220,14.730673,4635830359617962000.000000,0.636858,-0.341406,0.629775,0.285022,-9.631929,-0.707742,1.439038,0.051271,0.126041,0.050203,42.707239,-14.067097,2.758586,4635826064650666000.000000,-0.605976,0.427933,-0.522201,-0.420680,-9.487348,-2.128479,0.157466,0.082009,0.025720,0.036209,37.635426,25.427055,6.168599,4635827353140854800.000000,0.579828,0.259119,0.642172,-0.429270
1619714011604651,-9.693594,-0.604724,-0.671407,0.496862,-0.149033,0.081420,41.828363,-14.297768,14.783928,4635830359617962000.000000,0.637846,-0.339659,0.630119,0.284137,-9.643848,-0.696396,1.378575,0.051246,0.125916,0.050077,42.947367,-13.727299,2.744369,4635826064650666000.000000,-0.605705,0.427939,-0.522668,-0.420486,-9.495167,-2.152890,0.225072,0.104436,0.032128,0.041357,37.635426,25.380143,6.408887,4635827353140854800.000000,0.579654,0.259565,0.642056,-0.429409
1619714011612984,-9.672078,-0.571001,-0.618915,0.490694,-0.149060,0.087254,41.624652,-14.212317,15.026093,4635830359617962000.000000,0.638815,-0.337913,0.630462,0.283282,-9.643848,-0.717652,1.343389,0.050027,0.120676,0.044762,43.014870,-13.478984,2.651304,4635826059598976000.000000,-0.605451,0.427951,-0.523108,-0.420291,-9.489541,-2.142199,0.327127,0.124373,0.036617,0.046398,37.648591,25.440228,6.356225,4635827353140854800.000000,0.579455,0.260079,0.641909,-0.429584
1619714011621317,-9.611045,-0.497761,-0.521262,0.498397,-0.120169,0.090298,41.648594,-14.218720,15.109109,4635830301911103500.000000,0.639712,-0.336170,0.630892,0.282372,-9.644426,-0.610947,1.366075,0.042751,0.119506,0.040716,42.847984,-13.562713,2.748974,4635825849902301200.000000,-0.605195,0.427988,-0.523526,-0.420103,-9.520531,-1.999821,0.440416,0.133109,0.034072,0.053983,37.721825,25.455577,6.115909,4635827353140854800.000000,0.579268,0.260631,0.641733,-0.429767
