Jump,Start,Takeoff,Landing,End
Q3R,158,306,371,423
Q3R,1230,1392,1455,1503
Q3R,2057,2223,2288,2343
Q3L,2923,3087,3151,3205
Q3L,3798,3981,4043,4097
Q3L,4562,4726,4789,4847
