Jump,Start,Takeoff,Landing,End
X3L,164,328,414,469
X3L,784,942,1028,1087
X3L,1445,1602,1689,1755
X3R,1982,2151,2235,2298
X3R,2631,2789,2873,2936
X3R,3280,3445,3530,3585
