Jump,Start,Take-off,Landing,End
Q3L,165,303,371,439
Q3L,778,931,999,1058
Q3L,1455,1598,1670,1730
Q3R,2390,2555,2628,2686
Q3R,2939,3098,3169,3220
Q3R,3511,3663,3734,3783
