Jump,Start,Take-off,Landing,End
X2L,154,320,393,450
X2L,845,998,1072,1139
X2L,1456,1614,1685,1736
X2R,1877,2030,2103,2154
X2R,2452,2608,2681,2738
X2R,3078,3227,3300,3354
