Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557500848435997,-9.191546,0.901082,2.636990,-0.228529,0.094344,-0.043849,48.848428,14.273977,-14.309781,4635495986213421100.000000,-0.479403,-0.502213,-0.319991,0.644640,-9.548645,2.188467,1.638861,-0.553706,0.345227,0.326215,49.694497,-8.268436,11.068773,4635492120742854700.000000,0.740129,-0.112419,0.634297,0.192971,9.182763,-6.792626,1.426496,-1.004455,0.074309,-0.110149,-29.184081,33.875403,-26.657288,4635491476497760300.000000,0.774245,-0.402594,-0.485968,-0.047942,-9.556643,-0.373129,0.447795,-1.625658,0.308365,-0.040400,48.429945,10.650793,19.273510,4635492228117037100.000000,-0.643816,-0.259665,-0.669532,0.264200,-10.241343,-1.125336,-1.750140,-0.403994,-0.124934,-0.016073,53.102370,2.429468,-3.003244,4635493946103955500.000000,-0.154385,-0.779021,-0.156729,0.587135
1557500848444330,-9.296442,0.812297,2.789515,-0.235807,0.065664,-0.035684,48.998440,14.209417,-14.125222,4635495986213421100.000000,-0.479656,-0.501924,-0.320841,0.644254,-9.607840,2.104242,1.728882,-0.586043,0.344236,0.346671,49.537916,-8.587942,11.223514,4635492120742854700.000000,0.738748,-0.113658,0.634959,0.195348,9.094672,-6.881304,1.281934,-0.938468,0.130915,-0.154505,-29.167316,33.891581,-26.571845,4635491476497760300.000000,0.772862,-0.405225,-0.485708,-0.050648,-9.486269,-0.091761,-0.517227,-1.829074,0.348768,-0.039900,47.992045,10.079994,19.483986,4635492209072390100.000000,-0.644855,-0.255186,-0.672382,0.258735,-9.280056,0.411176,-1.234239,-0.388843,-0.131366,-0.060771,53.187441,2.429273,-3.003021,4635493946103955500.000000,-0.155548,-0.778533,-0.157899,0.587162
1557500848452663,-9.462373,0.970991,2.569344,-0.236584,0.063478,-0.031230,49.054948,14.229678,-13.931354,4635495986213421100.000000,-0.479925,-0.501633,-0.321679,0.643862,-9.561745,2.043209,1.751456,-0.608766,0.335745,0.370729,49.350859,-8.748747,11.412410,4635492007983214600.000000,0.737352,-0.114895,0.635580,0.197861,8.980979,-6.735854,1.168241,-0.884559,0.200651,-0.205852,-29.244071,34.110837,-26.433895,4635491410529392600.000000,0.771689,-0.407555,-0.485314,-0.053530,-10.311377,0.105125,-0.634413,-1.996188,0.340635,-0.049804,47.676816,9.594647,19.766921,4635492120742854700.000000,-0.646044,-0.250205,-0.675356,0.252820,-10.203162,-2.288487,-2.499470,-0.340855,-0.109005,-0.110967,53.102408,2.587589,-2.917775,4635493946103955500.000000,-0.156416,-0.778096,-0.159129,0.587179
1557500848460996,-9.658948,1.110874,2.648532,-0.256609,0.017202,-0.033619,48.896269,14.388997,-13.769951,4635495986213421100.000000,-0.480291,-0.501175,-0.322484,0.643543,-9.490340,1.982176,1.739250,-0.626362,0.331072,0.398099,49.197968,-8.834195,11.505783,4635491905994489900.000000,0.735930,-0.116108,0.636178,0.200506,8.798034,-6.627744,1.247783,-0.817296,0.269437,-0.257290,-29.212480,34.416175,-26.210498,4635491435088998400.000000,0.770747,-0.409543,-0.484794,-0.056558,-9.445946,0.346738,-0.318957,-2.141558,0.357314,-0.088535,47.369474,9.179604,20.059893,4635492120742854700.000000,-0.647251,-0.244720,-0.678516,0.246565,-8.890154,2.929415,0.809927,-0.381231,-0.173952,-0.068464,52.943889,2.734107,-2.820144,4635493946103955500.000000,-0.157561,-0.777501,-0.160277,0.587349
1557500848469329,-9.666011,1.092077,2.911786,-0.260263,0.006185,-0.037891,48.746249,14.434769,-13.780072,4635495986213421100.000000,-0.480668,-0.500675,-0.323285,0.643250,-9.460127,1.940366,1.720633,-0.643453,0.330058,0.428007,49.000817,-9.047829,11.428263,4635491905994489900.000000,0.734471,-0.117292,0.636765,0.203286,8.508950,-6.461757,1.475842,-0.707848,0.327197,-0.278618,-29.001334,34.510330,-26.059155,4635491476497760300.000000,0.770094,-0.411115,-0.484145,-0.059533,-9.801479,0.217408,-0.396192,-2.276485,0.349556,-0.100313,47.054275,8.734301,20.335531,4635492120742854700.000000,-0.648551,-0.238808,-0.681746,0.239948,-9.374056,0.506656,-0.935541,-0.388787,-0.147472,-0.166383,52.712151,2.880578,-2.625084,4635493946103955500.000000,-0.158471,-0.776898,-0.161779,0.587490
1557500848477662,-9.559842,0.937720,2.880306,-0.271295,0.031636,-0.042670,48.691158,14.274629,-13.866969,4635495986213421100.000000,-0.481023,-0.500216,-0.324173,0.642894,-9.474161,1.896732,1.676998,-0.660541,0.327815,0.457912,48.845798,-9.287681,11.308032,4635491905994489900.000000,0.732975,-0.118446,0.637337,0.206203,8.378990,-5.989962,1.627228,-0.589764,0.370517,-0.279855,-29.057054,34.555306,-25.973710,4635491476497760300.000000,0.769723,-0.412288,-0.483382,-0.062348,-10.136932,0.051766,-0.441954,-2.447047,0.382573,-0.152949,46.777223,8.135378,20.515700,4635492120742854700.000000,-0.649812,-0.232293,-0.685220,0.232932,-10.227651,-0.985046,-1.609685,-0.333402,-0.138881,-0.173024,52.553272,3.112303,-2.722005,4635493946103955500.000000,-0.159180,-0.776346,-0.163172,0.587642
1557500848485995,-9.564827,0.817103,2.966399,-0.247957,-0.002952,-0.050709,48.860597,14.134076,-13.964618,4635495986213421100.000000,-0.481356,-0.499702,-0.324945,0.642654,-9.503767,1.835698,1.647999,-0.679312,0.326346,0.486697,48.811605,-9.484811,11.325096,4635491905994489900.000000,0.731441,-0.119578,0.637893,0.209255,8.254326,-5.502285,1.945094,-0.480637,0.395029,-0.292975,-29.248740,34.538592,-25.880755,4635491476497760300.000000,0.769579,-0.413073,-0.482587,-0.065029,-9.795786,-0.050907,-1.442091,-2.538447,0.432643,-0.237062,46.630749,7.506514,20.623395,4635492120742854700.000000,-0.650509,-0.226406,-0.688564,0.226844,-9.730562,0.253218,-1.708790,-0.370553,-0.207048,-0.117636,52.467634,3.271184,-2.722251,4635493839000367100.000000,-0.160189,-0.775639,-0.164433,0.587950
1557500848494328,-9.495774,0.721681,2.943288,-0.192324,0.007147,-0.055234,48.980293,14.238306,-14.040610,4635495973508399100.000000,-0.481550,-0.499323,-0.325595,0.642475,-9.522383,1.774657,1.667222,-0.697926,0.323489,0.511107,48.734106,-9.768026,11.479823,4635491962355305500.000000,0.729874,-0.120698,0.638427,0.212431,8.126483,-5.406816,2.393969,-0.349798,0.391784,-0.290066,-29.212518,34.412871,-25.730622,4635491476497760300.000000,0.769649,-0.413440,-0.481830,-0.067432,-9.406817,-0.703160,-0.859881,-2.450663,0.433763,-0.236707,46.469125,7.031192,20.738352,4635492120742854700.000000,-0.651421,-0.219644,-0.692119,0.219950,-9.242351,0.438961,-1.270783,-0.375973,-0.188047,-0.156909,52.321335,3.113326,-2.527471,4635493838729773100.000000,-0.161105,-0.774946,-0.165846,0.588216
1557500848502661,-9.293376,0.716557,2.804299,-0.187696,0.064570,-0.061390,48.820947,14.463675,-13.932051,4635495878839238700.000000,-0.481642,-0.499100,-0.326359,0.642191,-9.553201,1.694410,1.729465,-0.709969,0.313718,0.530785,48.581837,-10.052742,11.579024,4635492013368672300.000000,0.728300,-0.121792,0.638920,0.215701,8.026043,-5.219618,2.720973,-0.226182,0.371827,-0.268629,-29.451125,34.636485,-25.614985,4635491476497760300.000000,0.769894,-0.413456,-0.481133,-0.069485,-9.309160,0.092966,-1.595268,-2.644469,0.573731,-0.257857,46.209083,6.585881,20.968259,4635492120742854700.000000,-0.652014,-0.212397,-0.696169,0.212402,-10.020121,-1.045726,-2.060861,-0.289707,-0.174146,-0.120801,52.174847,3.027672,-2.332153,4635493838729773100.000000,-0.161821,-0.774369,-0.166941,0.588471
1557500848510994,-9.215812,0.590949,3.046080,-0.209483,0.035307,-0.067429,48.766470,14.530361,-13.661414,4635495878839238700.000000,-0.481806,-0.498749,-0.327133,0.641948,-9.570604,1.628783,1.802101,-0.711841,0.302582,0.547822,48.512222,-10.290472,11.450310,4635492013368672300.000000,0.726730,-0.122834,0.639375,0.219031,7.983642,-5.085775,2.789929,-0.133878,0.344151,-0.250378,-29.931889,35.055361,-25.646679,4635491476497760300.000000,0.770246,-0.413217,-0.480517,-0.071247,-9.293629,0.509791,-3.064817,-2.715129,0.652209,-0.245787,45.818476,6.015098,21.339415,4635492120742854700.000000,-0.652370,-0.205032,-0.700391,0.204520,-9.705762,-0.075940,-1.880446,-0.287338,-0.225238,-0.159048,52.016185,3.173521,-2.331614,4635493838729773100.000000,-0.162469,-0.773639,-0.168119,0.588916
