Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557500849894272,-9.000935,2.270577,3.438437,0.114525,-0.033950,0.101362,39.025569,9.335889,-33.507935,4635495986213421100.000000,-0.147668,-0.550164,-0.080479,0.817947,-6.925165,2.287799,2.466597,0.224884,0.830825,-0.944734,51.513092,3.107844,13.527908,4635492120742854700.000000,0.752498,0.205503,0.613138,-0.124813,-9.455196,-8.809623,7.901934,2.039009,4.021695,5.044102,37.783341,18.212017,-30.670836,4635492335491219500.000000,0.893796,-0.373330,0.190169,0.159964,-9.747485,0.528868,0.533782,-0.487572,-0.315188,-0.127531,42.604090,-11.301726,15.203687,4635492120742854700.000000,-0.578958,-0.665202,-0.415716,0.222476,-9.838692,1.378843,0.583939,-1.135111,0.381547,-0.150766,52.358382,-14.734336,-4.161775,4635494053478137900.000000,0.343185,-0.654840,0.383386,0.553556
1557500849902605,-9.015808,2.247469,3.523914,0.098624,-0.056728,0.127112,38.500739,9.110774,-33.399456,4635495986213421100.000000,-0.147671,-0.550084,-0.080070,0.818040,-7.241802,2.445760,2.698508,0.110797,0.916328,-1.103115,51.433398,3.429485,13.894165,4635492120742854700.000000,0.749394,0.203627,0.616960,-0.127692,-9.837050,-8.006731,7.671650,1.887762,4.063042,4.844251,39.958175,16.176471,-29.780049,4635492335491219500.000000,0.890050,-0.364811,0.213936,0.170164,-9.698426,-0.116388,0.167880,-0.773179,-0.382298,-0.501740,42.708431,-11.245330,15.004024,4635492120742854700.000000,-0.581130,-0.662340,-0.416864,0.223200,-9.839167,0.932153,0.114494,-0.992622,0.389791,-0.028955,52.442174,-14.649714,-4.162724,4635494053478137900.000000,0.340092,-0.657203,0.381351,0.554070
1557500849910938,-8.843548,2.031817,3.700216,0.091859,-0.041055,0.134823,38.456227,8.954699,-33.407604,4635495986213421100.000000,-0.147710,-0.550054,-0.079676,0.818092,-7.579271,2.585782,2.911058,-0.019004,1.002279,-1.252901,51.393169,3.910539,14.103060,4635492120742854700.000000,0.746068,0.200995,0.621224,-0.130627,-10.455736,-7.387963,7.300537,1.608047,4.103328,4.648758,41.676350,14.333360,-28.686783,4635492396741142500.000000,0.885325,-0.357267,0.237196,0.179716,-9.659049,-0.794401,-0.147639,-0.981123,-0.403417,-0.846072,42.975125,-11.301753,14.723281,4635492120742854700.000000,-0.583581,-0.658342,-0.419096,0.224450,-9.827077,0.782680,-0.760627,-0.955273,0.377179,0.048396,52.297923,-14.588433,-3.691207,4635494053478137900.000000,0.336936,-0.659349,0.379590,0.554657
1557500849919271,-8.570926,1.740183,3.793772,0.082840,0.035857,0.126395,39.854589,8.163964,-33.482204,4635495986213421100.000000,-0.147715,-0.550277,-0.079380,0.817970,-7.939053,2.720071,3.074086,-0.168046,1.087170,-1.388568,51.477154,4.472111,14.716937,4635492120742854700.000000,0.742536,0.197583,0.625919,-0.133517,-11.257858,-6.559795,6.857482,1.237179,4.142389,4.490033,42.930558,12.126261,-27.328740,4635492504109790200.000000,0.879513,-0.351032,0.259919,0.188879,-9.850225,-1.232482,-0.470330,-1.081832,-0.402611,-1.153195,43.265569,-11.172770,14.471532,4635492120742854700.000000,-0.585296,-0.654843,-0.420228,0.228074,-9.742358,0.539557,-0.962440,-0.924256,0.362251,0.058652,52.066885,-14.744963,-3.493262,4635493947173060600.000000,0.333859,-0.661389,0.377902,0.555242
1557500849927604,-8.391917,1.369909,3.597041,0.073816,0.143853,0.112631,40.694039,7.663546,-33.558151,4635495986213421100.000000,-0.147658,-0.550856,-0.079212,0.817606,-8.293045,2.809127,3.195439,-0.335731,1.168157,-1.510583,51.383913,4.988398,15.299383,4635492120742854700.000000,0.738818,0.193365,0.631021,-0.136272,-12.040888,-6.204794,6.599150,0.807110,4.170333,4.351175,44.016941,9.902489,-25.663678,4635492550239584300.000000,0.872570,-0.346319,0.282030,0.197847,-9.622887,-2.129157,-0.623728,-1.071816,-0.377157,-1.417310,43.393174,-10.779140,14.361665,4635492157208585200.000000,-0.587274,-0.649758,-0.423918,0.230687,-9.644810,0.174508,-1.327003,-0.889046,0.350468,0.042884,51.992050,-14.746543,-3.672626,4635493946103955500.000000,0.330929,-0.663367,0.376229,0.555771
1557500849935937,-8.475973,1.093245,2.923042,0.024337,0.215293,0.117377,40.543507,7.739494,-33.547309,4635495986213421100.000000,-0.147706,-0.551648,-0.079247,0.817060,-8.666417,2.857953,3.311759,-0.525529,1.245562,-1.615639,51.066539,5.458001,15.590211,4635492120742854700.000000,0.734937,0.188315,0.636511,-0.138776,-12.895232,-6.107417,6.308168,0.337300,4.177376,4.210644,45.096456,8.213648,-24.060669,4635492550239584300.000000,0.864510,-0.343271,0.303397,0.206733,-9.836177,-2.145731,-0.898742,-1.031247,-0.340619,-1.650308,43.383270,-10.142512,14.220705,4635492335491219500.000000,-0.588903,-0.644206,-0.428503,0.233617,-9.462539,0.376387,-1.693225,-0.881296,0.348237,0.027919,52.136380,-14.589408,-3.867825,4635493946103955500.000000,0.328053,-0.665343,0.374525,0.556266
1557500849944270,-8.839516,1.049837,2.480816,-0.044506,0.189181,0.124973,40.477036,7.721861,-33.449640,4635495986213421100.000000,-0.147947,-0.552309,-0.079482,0.816547,-9.057054,2.926160,3.427374,-0.740973,1.321904,-1.692681,50.833114,6.057521,16.066171,4635492177554659300.000000,0.730916,0.182426,0.642369,-0.140871,-13.669813,-5.809388,5.959310,-0.152346,4.164884,4.125537,46.212462,6.665335,-22.527901,4635492550239584300.000000,0.855315,-0.341881,0.323989,0.215837,-9.787606,-2.735601,-1.026271,-0.965292,-0.203669,-1.745307,43.475389,-9.600101,13.896653,4635492335491219500.000000,-0.589982,-0.638736,-0.433588,0.236515,-9.521166,-0.117089,-1.878117,-0.846324,0.366194,0.028829,52.065305,-14.660362,-3.676374,4635493946103955500.000000,0.325238,-0.667301,0.372925,0.556648
1557500849952603,-9.232780,1.076938,2.570271,-0.115702,0.113494,0.127463,40.525892,7.571312,-33.372320,4635495986213421100.000000,-0.148385,-0.552669,-0.079907,0.816183,-9.512248,2.908275,3.569524,-0.966213,1.384740,-1.752369,50.758385,6.777712,16.840866,4635492228117037100.000000,0.726794,0.175708,0.648534,-0.142481,-14.231519,-5.561529,5.739394,-0.637585,4.131798,4.084341,47.178902,5.059189,-20.897536,4635492672702590000.000000,0.845002,-0.342048,0.343772,0.225378,-13.861033,2.777904,-2.654354,-1.111331,-0.019518,-1.567340,43.717423,-9.270560,13.451702,4635492335491219500.000000,-0.590981,-0.633873,-0.438041,0.238885,-9.678890,0.035042,-1.759082,-0.799443,0.363202,0.071140,51.762432,-14.987408,-3.481055,4635493946103955500.000000,0.322455,-0.669114,0.371542,0.557016
1557500849960936,-10.015432,1.201840,3.303954,-0.217083,-0.151802,0.150369,40.300715,7.512962,-33.459125,4635495986213421100.000000,-0.149222,-0.552069,-0.080459,0.816381,-9.960355,2.772585,3.727503,-1.168537,1.429228,-1.798745,50.596946,7.452705,17.610681,4635492228117037100.000000,0.722593,0.168257,0.654918,-0.143634,-14.886889,-5.528139,5.551137,-1.091292,4.067753,4.037201,47.967238,3.533164,-19.232083,4635492764987949100.000000,0.833680,-0.343623,0.362631,0.235372,-13.969341,9.145853,-3.097915,-0.801201,-0.486710,-1.939663,43.893461,-8.911938,13.239478,4635492335491219500.000000,-0.591788,-0.628249,-0.442495,0.243494,-9.801329,0.181652,-1.745780,-0.717546,0.362113,0.126556,51.602273,-14.990691,-3.467024,4635493946103955500.000000,0.319770,-0.670720,0.370498,0.557327
1557500849969269,-10.480798,0.427294,4.762313,-0.095560,-0.038514,0.178851,40.261346,7.663527,-33.536459,4635495986213421100.000000,-0.149838,-0.551939,-0.080604,0.816343,-10.357449,2.588059,3.854620,-1.337568,1.475592,-1.826022,50.285304,8.003543,18.255550,4635492228117037100.000000,0.718282,0.160227,0.661483,-0.144355,-15.675125,-5.415140,5.213059,-1.511259,3.977287,4.004203,48.724097,1.988169,-17.620607,4635492764987949100.000000,0.821434,-0.346420,0.380499,0.245886,-5.416462,5.305659,1.860390,-0.589478,-0.370208,-1.875116,43.822719,-8.399076,13.422567,4635492335491219500.000000,-0.591847,-0.623339,-0.446830,0.248008,-9.887135,-0.143167,-2.071936,-0.562349,0.329323,0.168347,51.528189,-14.918185,-3.466902,4635493946103955500.000000,0.317468,-0.671973,0.369885,0.557541
1557500849977602,-10.061478,0.208793,4.088243,0.053785,0.421023,0.225487,40.478379,7.731365,-33.418494,4635495986213421100.000000,-0.150115,-0.553478,-0.080420,0.815267,-10.908772,2.432200,3.912826,-1.486163,1.510352,-1.837903,49.967932,8.518342,18.807770,4635492228117037100.000000,0.713873,0.151716,0.668163,-0.144657,-16.329340,-5.171009,4.848475,-1.891856,3.871715,3.993505,49.383456,0.547488,-16.150368,4635492764987949100.000000,0.808330,-0.350230,0.397370,0.256981,-13.386939,7.999993,-0.278614,-0.386164,-0.336261,-1.084531,43.914784,-7.881230,13.524982,4635492335491219500.000000,-0.592106,-0.620410,-0.448972,0.250850,-9.815491,-1.270333,-2.063174,-0.344015,0.351195,0.178284,51.454943,-14.917447,-3.188962,4635493946103955500.000000,0.315718,-0.672968,0.369834,0.557368
1557500849985935,-11.065011,0.688052,3.577245,-0.082859,0.025752,0.302617,40.555736,7.639206,-33.080710,4635495986213421100.000000,-0.151100,-0.553612,-0.080274,0.815008,-11.592348,2.244867,3.879840,-1.609012,1.507608,-1.827426,49.650555,9.112836,19.314701,4635492228117037100.000000,0.709458,0.142844,0.674808,-0.144565,-17.045626,-5.107827,4.572875,-2.176272,3.737502,4.003847,49.837116,-0.789919,-14.605790,4635492826199221200.000000,0.794538,-0.354633,0.413257,0.268633,-11.737978,23.380110,-2.470718,-0.330397,-0.536698,-0.538742,44.144464,-7.634987,13.217485,4635492335491219500.000000,-0.593153,-0.618422,-0.449146,0.252967,-10.044355,-0.810488,-2.087220,-0.265676,0.312298,0.105421,51.466289,-14.989953,-3.089458,4635493946103955500.000000,0.314415,-0.673879,0.369710,0.557086
1557500849994268,-11.679051,-0.357779,5.793217,0.011132,-0.157130,0.365543,40.489214,7.412635,-33.079321,4635495986213421100.000000,-0.152143,-0.553204,-0.079549,0.815163,-12.185546,2.014349,3.800145,-1.697242,1.478339,-1.797212,49.294451,9.657208,19.975851,4635492228117037100.000000,0.705095,0.133755,0.681306,-0.144129,-17.825317,-5.368975,4.293926,-2.328891,3.567554,4.037998,50.051949,-2.181471,-13.042986,4635492872362131500.000000,0.780301,-0.359087,0.428208,0.280758,0.812376,27.054394,2.016625,-0.350748,-0.444080,-0.699039,44.261766,-7.380712,12.853558,4635492317288494100.000000,-0.593901,-0.616174,-0.449980,0.255203,-10.215854,-0.841937,-2.824523,-0.281817,0.226262,0.009526,51.538911,-14.990691,-3.088473,4635493946103955500.000000,0.313421,-0.674757,0.369166,0.556945
1557500850002601,-9.881390,-1.009419,5.059959,0.398764,0.819790,0.364007,40.600408,7.328525,-33.113331,4635495986213421100.000000,-0.151961,-0.556353,-0.078129,0.813189,-12.717557,1.735856,3.701796,-1.739938,1.421697,-1.758014,48.994216,10.004865,20.814413,4635492228117037100.000000,0.700841,0.124596,0.687543,-0.143465,-18.529913,-5.639589,3.877400,-2.354997,3.358870,4.065959,50.168773,-3.658427,-11.651136,4635492872362131500.000000,0.765906,-0.363129,0.442237,0.293176,-3.809980,8.163339,4.631799,-0.757484,-0.061331,-0.677335,44.217671,-7.163484,12.579242,4635492228117037100.000000,-0.594989,-0.613361,-0.452133,0.255639,-10.096768,-1.531035,-3.230853,-0.342254,0.242295,-0.094008,51.382577,-14.990691,-3.088473,4635493946103955500.000000,0.312470,-0.675907,0.368212,0.556715
1557500850010934,-9.171965,0.447772,1.829700,0.425212,1.053428,0.332427,40.893457,7.244395,-32.744290,4635495986213421100.000000,-0.151530,-0.560287,-0.076838,0.810687,-13.182969,1.374709,3.553217,-1.736762,1.310793,-1.688188,48.806760,10.242546,21.557782,4635492228117037100.000000,0.696851,0.115560,0.693324,-0.142641,-19.018654,-5.657397,3.516092,-2.298460,3.124060,4.049102,50.332593,-5.311237,-10.381514,4635492872362131500.000000,0.751622,-0.366537,0.455306,0.305633,-9.841927,1.460061,1.705526,-0.902112,-0.096779,-0.668764,44.376370,-7.063559,12.410598,4635492228117037100.000000,-0.596512,-0.610158,-0.454324,0.255870,-9.527627,-0.462756,-2.123337,-0.465517,0.285817,-0.198676,51.223882,-14.918194,-2.991810,4635493946103955500.000000,0.311347,-0.677477,0.366733,0.556413
1557500850019267,-10.118566,1.711756,1.557153,0.182292,0.102412,0.294689,40.970755,7.057227,-32.502896,4635495986213421100.000000,-0.151839,-0.560834,-0.075854,0.810343,-13.276763,1.080170,3.370106,-1.695575,1.138300,-1.571040,48.609344,10.558377,22.077110,4635492228117037100.000000,0.693325,0.106863,0.698437,-0.141659,-18.956868,-5.573654,3.336281,-2.231594,2.863025,3.978827,50.444410,-6.971684,-9.259902,4635492872362131500.000000,0.737631,-0.369352,0.467293,0.317989,-9.413575,2.281535,-1.947783,-0.764401,-0.150382,-0.719162,44.504057,-6.838877,12.310865,4635492228117037100.000000,-0.597721,-0.607135,-0.456358,0.256620,-8.796976,1.324084,-0.650203,-0.641185,0.229186,-0.288532,51.065225,-14.772487,-2.990814,4635493946103955500.000000,0.310020,-0.679274,0.364518,0.556418
1557500850027600,-9.414399,1.875814,2.639568,0.011753,-0.231257,0.243411,40.904307,6.756099,-32.665667,4635495986213421100.000000,-0.152479,-0.560129,-0.075354,0.810757,-12.815517,0.770118,3.225721,-1.595113,0.940766,-1.423660,48.332252,11.039321,22.452723,4635492228117037100.000000,0.690344,0.098754,0.702781,-0.140615,-18.221914,-5.472584,3.332495,-2.164178,2.597961,3.872970,50.437575,-8.475046,-8.215386,4635492994758907900.000000,0.724046,-0.371645,0.478162,0.330149,-9.173975,4.622250,-1.875661,-0.530410,-0.248056,-0.833694,44.483776,-6.391990,12.203086,4635492228117037100.000000,-0.598486,-0.604195,-0.458404,0.258125,-9.079284,0.557523,-0.852250,-0.750852,0.182070,-0.353953,51.136058,-14.686388,-2.990814,4635493946103955500.000000,0.308601,-0.681195,0.361799,0.556632
1557500850035933,-7.727286,1.449968,2.969112,0.041420,0.206865,0.177906,41.015517,6.586572,-32.730762,4635495986213421100.000000,-0.152691,-0.560900,-0.075185,0.810199,-12.004997,0.385955,3.090054,-1.425091,0.756658,-1.255300,48.060040,11.465346,22.840369,4635492228117037100.000000,0.687874,0.091510,0.706367,-0.139646,-16.979171,-5.273989,3.278802,-2.101586,2.341618,3.712719,50.340049,-9.734563,-7.332572,4635493087110496300.000000,0.710975,-0.373560,0.487884,0.341961,-8.474953,5.826505,-0.360417,-0.508437,-0.266627,-0.961299,44.510629,-6.160236,12.088902,4635492228117037100.000000,-0.599082,-0.601035,-0.460695,0.260033,-9.517239,-0.719216,-1.398182,-0.711805,0.178414,-0.391624,51.064324,-14.468040,-2.894163,4635493946103955500.000000,0.307382,-0.683105,0.359056,0.556742
1557500850044266,-7.397635,1.490607,2.250279,0.066469,0.368657,0.139809,41.289514,6.436022,-32.535461,4635495974292979700.000000,-0.152664,-0.562220,-0.075123,0.809296,-11.210631,0.155913,2.860390,-1.217444,0.587005,-1.068512,47.866809,11.654402,23.234674,4635492228117037100.000000,0.685891,0.085305,0.709231,-0.138808,-15.451800,-4.948064,3.850594,-1.944693,2.138224,3.542516,50.212725,-10.989828,-6.617456,4635493087110496300.000000,0.698529,-0.374929,0.496768,0.353139,-8.051648,5.614667,0.106325,-0.582202,-0.238216,-1.008151,44.638344,-5.906722,11.924568,4635492228117037100.000000,-0.599447,-0.598147,-0.462563,0.262525,-9.835853,-1.094843,-1.464251,-0.621542,0.172039,-0.393067,50.894450,-14.236254,-2.989794,4635493946103955500.000000,0.306430,-0.684879,0.356507,0.556726
1557500850052599,-7.919888,2.025068,1.890780,-0.001067,0.094711,0.141945,41.214906,6.351920,-32.360471,4635495878839238700.000000,-0.152888,-0.562570,-0.075109,0.809011,-10.586508,0.026006,2.593234,-0.987520,0.422642,-0.875190,47.630712,11.772102,23.543511,4635492228117037100.000000,0.684396,0.080228,0.711394,-0.138148,-14.257965,-4.833990,3.874574,-1.841189,1.941347,3.395270,49.958515,-12.671566,-5.920024,4635493087110496300.000000,0.686628,-0.375889,0.504828,0.363865,-7.730237,5.235026,-0.605304,-0.662087,-0.189470,-1.004915,44.601545,-5.233140,11.912362,4635492228117037100.000000,-0.600204,-0.594578,-0.465310,0.264043,-9.790847,-0.530908,-1.489048,-0.564573,0.160345,-0.394135,50.808105,-14.149272,-3.087453,4635493946103955500.000000,0.305656,-0.686548,0.354069,0.556652
1557500850060932,-8.193875,2.324798,2.722134,-0.087807,-0.047722,0.166750,41.138950,6.286813,-32.360447,4635495878839238700.000000,-0.153443,-0.562392,-0.075239,0.809017,-10.082357,-0.158482,2.342649,-0.734401,0.258600,-0.677351,47.402946,11.963734,23.760457,4635492228117037100.000000,0.683398,0.076361,0.712859,-0.137725,-13.267930,-4.481371,3.340201,-1.861253,1.734420,3.118920,49.597608,-14.189761,-5.434621,4635493087110496300.000000,0.675342,-0.377066,0.511676,0.374061,-8.118996,4.468544,-1.777875,-0.659299,-0.216252,-0.991210,44.433698,-4.490537,11.898089,4635492228117037100.000000,-0.601007,-0.590999,-0.467944,0.265593,-9.983617,-0.234999,-1.344344,-0.577723,0.152823,-0.369836,50.807213,-14.075901,-2.991833,4635493946103955500.000000,0.304796,-0.688173,0.351658,0.556645
1557500850069265,-8.234554,2.471316,3.186156,-0.174575,0.000235,0.166158,41.148436,6.294943,-32.458118,4635495878839238700.000000,-0.154185,-0.562319,-0.075693,0.808885,-9.657177,-0.314407,2.099194,-0.477220,0.103760,-0.477729,47.366804,12.202125,23.783007,4635492228117037100.000000,0.682884,0.073729,0.713663,-0.137545,-12.353590,-3.943768,3.386083,-1.820003,1.565717,2.777755,49.314820,-15.217525,-5.124176,4635493087110496300.000000,0.664839,-0.378500,0.517442,0.383382,-8.467625,3.954649,-2.294076,-0.624702,-0.260989,-0.976223,43.923022,-3.758049,11.840632,4635492228117037100.000000,-0.601816,-0.587471,-0.470380,0.267278,-9.430045,1.567756,-1.632698,-0.738512,0.141120,-0.304053,50.807213,-14.002665,-2.906264,4635493946103955500.000000,0.303336,-0.689871,0.349046,0.556985
1557500850077598,-8.416294,2.501176,2.971845,-0.246140,0.015077,0.153695,41.232529,6.369541,-32.546292,4635495878839238700.000000,-0.155047,-0.562243,-0.076427,0.808704,-9.311710,-0.314627,1.905965,-0.258509,-0.021748,-0.285213,47.401348,12.317270,23.686046,4635492228117037100.000000,0.682781,0.072218,0.713923,-0.137505,-11.657511,-3.989311,3.368034,-1.727663,1.408132,2.502072,49.053391,-16.331067,-4.707778,4635493087110496300.000000,0.655118,-0.379944,0.522370,0.391910,-8.407113,3.817466,-1.847484,-0.635275,-0.265291,-0.954022,43.505124,-3.067004,11.625068,4635492228117037100.000000,-0.602671,-0.583942,-0.472755,0.268891,-9.303330,1.623198,-1.647870,-0.886074,0.150507,-0.301240,50.662272,-13.929421,-2.808734,4635493946103955500.000000,0.301427,-0.691764,0.346107,0.557507
1557500850085931,-8.664523,2.356108,2.872695,-0.316750,-0.016619,0.155232,41.297646,6.445509,-32.546316,4635495878839238700.000000,-0.156090,-0.562015,-0.077375,0.808572,-9.096824,-0.152486,1.760175,-0.110588,-0.127932,-0.111336,47.440039,12.278578,23.690881,4635492228117037100.000000,0.683048,0.071585,0.713744,-0.137443,-10.923723,-3.975020,3.316689,-1.609366,1.272233,2.225531,48.718712,-17.522424,-4.311572,4635493087110496300.000000,0.646215,-0.381383,0.526587,0.399574,-8.494122,4.061277,-0.998985,-0.679714,-0.275553,-0.954637,43.563044,-2.644713,11.415311,4635492228117037100.000000,-0.603640,-0.580275,-0.475146,0.270437,-9.543582,0.609113,-1.817078,-0.893971,0.169630,-0.260005,50.491644,-13.771646,-2.988858,4635493946103955500.000000,0.299367,-0.693641,0.343288,0.558028
1557500850094264,-8.725627,2.037360,3.310872,-0.379527,0.002590,0.177779,41.298998,6.454974,-32.439202,4635495878839238700.000000,-0.157350,-0.561815,-0.078493,0.808359,-9.085068,-0.106868,1.658137,0.005517,-0.234867,0.044876,47.474590,12.198885,23.782782,4635492228117037100.000000,0.683685,0.071684,0.713149,-0.137314,-10.300491,-3.638474,3.355340,-1.496042,1.153685,1.925238,48.248220,-18.242281,-4.265305,4635493087110496300.000000,0.638160,-0.382927,0.530120,0.406314,-8.408671,4.158600,-0.287124,-0.768247,-0.256780,-0.980394,43.827701,-2.495496,11.196418,4635492228117037100.000000,-0.604743,-0.576340,-0.477735,0.271821,-9.679020,0.392878,-1.335880,-0.850719,0.153986,-0.218352,50.332837,-13.625044,-2.990814,4635493946103955500.000000,0.297352,-0.695357,0.340666,0.558576
1557500850102597,-8.584585,1.827054,3.401885,-0.440412,0.065607,0.200569,41.300387,6.540426,-32.254740,4635495878839238700.000000,-0.158807,-0.561792,-0.079804,0.807961,-9.208513,-0.190936,1.636480,0.139247,-0.341555,0.193158,47.474590,12.119886,23.686997,4635492228117037100.000000,0.684682,0.072544,0.712128,-0.137192,-9.977367,-3.331459,3.462984,-1.427154,1.034972,1.637436,47.837959,-18.789340,-4.215472,4635493025976527900.000000,0.630893,-0.384683,0.532932,0.412283,-8.368592,4.099124,-0.399054,-0.874130,-0.213586,-0.988622,43.425022,-2.051402,11.296307,4635492228117037100.000000,-0.605989,-0.572155,-0.480562,0.272904,-9.632163,-0.032058,-1.330607,-0.738231,0.165437,-0.169292,50.331123,-13.695924,-2.990814,4635493946103955500.000000,0.295529,-0.696883,0.338458,0.558984
1557500850110930,-8.409549,1.789080,3.164461,-0.500231,0.135752,0.217067,41.224400,6.624525,-32.093223,4635495878839238700.000000,-0.160437,-0.561968,-0.081324,0.807365,-9.380782,-0.084341,1.647999,0.277677,-0.445663,0.324315,47.513275,12.124013,23.418449,4635492228117037100.000000,0.686016,0.074128,0.710690,-0.137139,-9.894947,-3.154943,3.621860,-1.382112,0.910027,1.372485,47.588372,-19.617057,-3.792476,4635492979736313900.000000,0.624372,-0.386663,0.535018,0.417620,-8.520767,3.848444,-0.496366,-0.966418,-0.191815,-1.008350,43.362321,-1.594399,11.378343,4635492228117037100.000000,-0.607372,-0.567703,-0.483581,0.273792,-9.631641,0.192814,-1.415136,-0.689474,0.168733,-0.137069,50.331123,-13.781235,-2.894209,4635493946103955500.000000,0.293764,-0.698303,0.336459,0.559348
1557500850119263,-8.409500,1.729449,3.088473,-0.551024,0.194140,0.229170,41.232505,6.708569,-32.190922,4635495878839238700.000000,-0.162205,-0.562307,-0.083024,0.806602,-9.563206,0.230039,1.641552,0.391007,-0.546453,0.432725,47.631650,12.119890,23.246595,4635492228117037100.000000,0.687667,0.076299,0.708862,-0.137143,-10.011423,-3.168497,3.674428,-1.334073,0.765865,1.137256,47.457299,-20.303445,-3.533196,4635492979736313900.000000,0.618615,-0.388766,0.536395,0.422441,-8.568365,3.572840,-0.447116,-1.064494,-0.160710,-1.019467,44.627200,-2.056030,11.040863,4635492264522488800.000000,-0.608891,-0.562996,-0.486802,0.274428,-9.595419,0.340208,-1.247021,-0.703746,0.166654,-0.140949,50.258681,-13.625195,-2.893155,4635493946103955500.000000,0.291966,-0.699735,0.334411,0.559728
1557500850127596,-8.517985,1.578890,3.087121,-0.596253,0.246259,0.242115,41.298998,6.870024,-32.170642,4635495878839238700.000000,-0.164104,-0.562790,-0.084880,0.805688,-9.746992,0.557559,1.616453,0.487074,-0.637947,0.516263,47.751657,11.917721,23.070899,4635492228117037100.000000,0.689594,0.078938,0.706682,-0.137220,-10.130275,-3.252249,3.639677,-1.278993,0.615711,0.934869,47.384059,-20.605742,-3.569642,4635492979736313900.000000,0.613604,-0.390895,0.537122,0.426838,-8.799471,3.586520,-0.325855,-1.150368,-0.145053,-1.054364,45.480262,-2.339103,10.842436,4635492442865401900.000000,-0.610518,-0.557997,-0.490225,0.274931,-9.788205,0.269363,-1.559082,-0.766242,0.162405,-0.166351,50.173361,-13.478573,-2.977673,4635493946103955500.000000,0.290047,-0.701261,0.332135,0.560171
1557500850135929,-8.711932,1.414708,3.070863,-0.625807,0.270114,0.238556,41.317957,6.946012,-31.976747,4635495878839238700.000000,-0.166049,-0.563327,-0.086858,0.804702,-9.877842,0.850520,1.573387,0.577058,-0.715498,0.583996,47.875779,11.600347,22.769437,4635492228117037100.000000,0.691745,0.081991,0.704194,-0.137393,-10.170457,-3.276843,3.578647,-1.231361,0.470149,0.725765,47.310824,-20.679340,-3.656775,4635492918615229400.000000,0.609341,-0.393096,0.537196,0.430812,-8.787263,3.438159,-0.443795,-1.201011,-0.134604,-1.090647,45.282485,-2.053614,10.925821,4635492442865401900.000000,-0.612175,-0.552782,-0.493797,0.275387,-9.729967,0.280637,-2.154178,-0.865183,0.149681,-0.161349,50.244870,-13.694307,-3.075199,4635493946103955500.000000,0.287841,-0.702861,0.329623,0.560787
1557500850144262,-8.892341,1.411955,2.996370,-0.647630,0.286027,0.231438,41.392553,6.955467,-31.706781,4635495878839238700.000000,-0.168015,-0.563894,-0.088937,0.803669,-10.002652,1.227293,1.524557,0.634874,-0.784304,0.646273,48.066704,11.495665,22.369617,4635492341508709400.000000,0.694096,0.085351,0.701441,-0.137578,-10.243508,-3.271584,3.482872,-1.209160,0.332036,0.530648,47.230636,-20.769668,-3.740533,4635492872362131500.000000,0.605752,-0.395417,0.536620,0.434453,-8.793659,3.340500,-0.531119,-1.224364,-0.140108,-1.116283,45.047971,-1.592189,10.953590,4635492388321430500.000000,-0.613842,-0.547423,-0.497420,0.275861,-9.379194,0.256625,-1.689877,-0.828239,0.167499,-0.176079,50.185309,-13.853651,-2.979685,4635493946103955500.000000,0.285749,-0.704469,0.327173,0.561274
1557500850152595,-9.042931,1.477096,2.750717,-0.699372,0.283655,0.218621,41.495555,7.040917,-31.543930,4635495878839238700.000000,-0.170059,-0.564407,-0.091215,0.802624,-10.179990,1.608043,1.533736,0.647118,-0.845390,0.697123,48.254198,11.535996,21.866412,4635492442865401900.000000,0.696629,0.088860,0.698469,-0.137672,-10.360315,-3.292426,3.319122,-1.214449,0.203998,0.389230,47.152136,-20.935302,-3.876299,4635492872362131500.000000,0.602678,-0.397825,0.535461,0.437946,-8.880983,3.215974,-0.588409,-1.251327,-0.143527,-1.141194,45.265437,-1.262596,10.758276,4635492120742854700.000000,-0.615522,-0.541914,-0.501099,0.276337,-9.664994,-0.516200,-1.612195,-0.748597,0.158193,-0.157232,49.943211,-13.710548,-2.785468,4635494052279938000.000000,0.283855,-0.705927,0.324950,0.561695
